Nom,Contact,Adresse,Code Postal,Ville,Tel,Adresse perso,Repré,Groupement,SP,,,,Remarque,
Librairie Lajarrige,,2 avenue louis lajarrige,44500,la baule,,,coup de cœur varesi ,,,envoyé L + Catalogue + note de remerciements,,,coup de cœur Fleuve,
Librairie les mots et les choses,Gwendoline Touchard,"30, rue de Meudon",92100,Boulogne Billancourt,01 46 21 42 59,,,,,,,,,
Librairie Chroniques,Fabien,"32, avenue de la république",92130,Issy les Moulineaux,01 41 46 00 92,,,,,,,,,
Librairie Chantelivre,,"32, avenue de la république",92130,Issy les Moulineaux,01 41 46 00 92,,,,,,,,,
Librairie La passerelle,,"5, rue Henri Lasson",92160,Antony,01 56 45 20 10,,,,,,,,,
Mots en marge,Nathalie Iris,"11, place de la liberté",92250,La Garenne Colombe,01 42 42 85 56,,,,,,,,,
Librairie Dédicaces,Vincent,"7, passage d'Arcole",92500,Rueil Malmaison,01 47 49 23 70,,,,,,,,,
Librairie Nouvelle,,57 rue Charles de Gaulle,92600,Asnières sur SeineGRqndville,01 47 93 06 11,,,,,,,,,
Toute une histoire,Hugo Latreille,"10, rue Maurice Bonakowski",92600,Asnières,,,,,,,,,,
Folies d'encre,Amanda,"9, avenue de la résistance",93100,Montreuil,01 49 20 80 00,,,,,,,,,
Folies d'encre,Hélène Barroux,"5, allée Lino Ventura",93160,Noisy le grand,01 43 04 05 36,,,,,,,,,
Mot à mot,Guillaume,"19, place de la libération",94120,Fontenay s/ bois,01 48 73 61 03,,,,,,,,,
La griffe noire,Gérard Collard,"2, rue de la Varenne",94100,Saint Maur des Fossés,01 48 83 67 47,,,,,,,,,
Librairie Arthur,,"5, rue Charles VII",94130,Nogent sur Marne,01 41 95 00 15,,,,,,,,,
Agora,Jérémy,"107, grande rue Charles de Gaulle",94130,Nogent Sur Marne,01 48 73 22 50,,,,,,,,,
Eclectique,Jean Claude Wyrsba,histoire,94210,La Varenne,01 42 83 52 23,,,,,,,,,
,Lamia Toumi,7 Jardin du Cardinal Richelieu,94220,Charenton,,,,,,,,,,
Merle Moqueur Printemps,Sandrine Disduo,"26, bd du Maréchal Leclerc bât. C2",94340,Joinville,01 40 09 08 80,,,,,,,,,
Librairie Antipodes,,"8, rue Robert Schumann",95880,Enghien,01 34 12 05 00,,,,,,,,,
,,,,,,,,,,,,,,
librairie la charpente,etienne carpentier (libraire) marie pierre oslowski (gérante),134 rue de la mairie,59500,douai,,,,,ont eu fleuve et destinée,,,,ont aimé fleuve,
Librairie Totem,sebastien funk,36 rue principale,67300,Schiltigheim,,,,,envoyer installation et catalogue car pas desservi par inter donc nous connait pas,,,,,
librairie lettre et merveilles,laurence hurard,18 place du grand martroy,95300,pontoise,,a recu petrescu,,,,,,,,
librairie au vent des mots,pascale perrot,7 rue du port,56100,lorient,297841650,,,,,,,,,
librairie le silence de la mer,,5 place saint pierre,56000,Vannes,,a eu zink et destinée,,,,,,,,
librairie serie b,,16 rue sainte-ursule,31000,toulouse,,a eu destinée,,,,,,,sép sf et polar mais prend tout,
librairie l'archipel des mots,,21 place du general de gaulle,56000,Vannes,,,,,,,,,,
Librairie Cheminant,,19 rue joseph le brix,56000,Vannes,,,,,,,,,,
librairie le roi lire,,4 rue florian,92330,sceaux,,,,,,,,,,
librairie la petite librairie,,4 bis rue danton,29200,brest,256290635,a eu installation,,,,,,,,
librairie la petite librairie,,4 rue cartault,92800,puteaux,,a eu petrescu,,,,,,,,
,,,,,,,,,,,,,,
librairie l'amandier,,45 boulevard richard wallace,92800,puteaux,,passe à tv matin,,,,,,,,
librairie les cinq continents,,20 rue jacques cœur,34000,montpellier mail,,,,,,,,,,
librairie accrolivres,,16 rue gambetta,73200,albertville,,,,,,,,,,
librairie du chat borgne,,30 faubourg de Montbéliard,90000,belfort,,,,,,,,,,
Les papiers bavards,,1 avenue aristide briand,25400,audincourt,,,,,,,,,,
librairie le bateau blanc,,10 rue république,83170,brignoles,,,,,,,,,,
librairie aux classiques,,117 rue bourbon,86100,chatellerault,,,,,,,,,,
Librairie Roesch,,21 rue droite,4200,sisteron,,,,,,,,,,
librairie entre les lignes,,,60100,creil,,,,,,,,,,
librairie merligane,,,43000,le puy-en-velay,,,,,,,,,,
librairie de cogolin,,,83310,cogolin,,,,,,,,,,
librairie le grand cercle,,,95610,eragny,,,,,,,,,,
librairie la droguerie de marine,,,35400,Saint-malo,,,,,,,,,,
librairie pages d'encre,,,80000,amiens,,,,,,,,,,
Librairie du conquerant,claire lesobre,38 rue de la république,14700,falaise,,,,,,,,,,
librairie le livre d'oz,,42 boulevard saint louis,77330,ozoir la ferriere,,,,,,,,,,
librairie jean jaurès,,26 rue gambetta,6300,Nice,,,,,,,,,,
librairie pecari amphibie,,"centre commercial art de vivre, 1 rue du bas noyer",35000,Rennes,,,,,,,,,,
librairie gibier,,66 rue georges clemenceau,45300,pithiviers,,,,,,,,,,
librairie histoires sans fin,,1 rue des chaudronniers,74800,la roche sur foron,,,,,,,,,,
Librairie Agora,,11 rue georges clémenceau,85000,la roche sur yon,,,,,,,,,,
librairie ventadour,,10 place de la république,19200,ussel,,,,,,,,,,
librairie bruneteaux,,38 rue saint jean,2000,laon cite medievale,,,,,,,,,,
librairie guerlin colbert,,70 place drouet d'erlon,51100,reims,,,,,,,,,,
librairie preface,,35 allée du rouergue,31770,colomiers,,,,,,,,,,
LIBRAIRIE L'OISEAU SIFFLEUR,PHILIPPE FUSARO,7 GRANDE RUE,26000,VALENCE,,,,,,,,,,
LIBRAIRIE MOTS ET CIE,,35 RUE ANTOINE ARMAGNAC,11000,Carcassonne,,,,,A EU DESTINéE,,,,,
LIBRAIRIE TERRA NOVA,,18 RUE LEON GAMBETTA,31000,Toulouse,,,,,"ONT EU REFUGE, LORTCHENKOV, INSTALLATION",,,,,
librairie entre deux noirs,,27 cours des carmes,33210,langon,,,,,,,,,,
librairie imaginaire,,4 bis rue de la poste,74000,annecy,,,,,,,,,,
librairie la balançoire,,6 rue général Berlier,26400,crest,,,,,,,,,,
librairie la procure largeron,,13 rue carnot,51100,reims,,,,,,,,,,
LIBRAIRIE PAGE 50,ANNE HERDUIN,6 RUE DU RENARD PréCHANT,67000,STRASBOURG,,,,,,,,,,
librairie la fabrique à rêves,,7 rue saint louis,59610,fourmies,,,,,,,,,,
librairie la folle avoine,,7 arcades du consulat,12200,villefranche de rouergue,,,,,,,,,,
librairie l'établi,,121 rue vaillant couturier,94140,alfortville,,,,,,,,,,
librairie l'horizon,,6 boulevard de clocheville,62200,boulogne sur mer,,,,,,,,,,
librairie des thermes,,54 allée d'Etigny,31110,bagnères de luchon,,,,,,,,,,
librairie les mots bleus,daphné coste (gérante),13 rue pierre bouvier,69270,fontaignes sur saône,,,,,,,,,,
librairie myriagone,,16 rue Bodinier,49000,angers,,,,,,,,,,
librairie l'astragale,,108 rue de sèze,69006,lyon,,,,,,,,,,
,,,,,,,,,,,,,,
librairie ruc,,6 place de la cathédrale,68000,colmar,,,,,,,,,,
librairie la boite à livres,,19 rue nationale,37000,TOURS,,,,,,,,,,
,,,,,,,,,,,,,,
Librairie marbot,,17 cours michel montaigne,24000,périgueux,,,,,,,,,,
librairie prado paradis,,19 avenue de mazargues,13008,marseille,,,,,,,,,,
librairie le pavé du canal,,"26 place etienne marcel, halle sud canal",78180,Montigny-le-bretonneux,,,,,,,,,,
Librairie un petit noir,,57 montée de la grande côte,69001,lyon,,,,,,,,,,
librairie des arts,,12 rue sommeiller,74000,annecy,,,,,,,,,,
librairie m'enfin,,13 rue victor hugo,35000,Rennes,,,,,,,,,,
librairie le détour,,62 rue des juifs,50400,granville,,,,,,,,,,
librairie univers du livre,,1 rue de pologne,78100,,,,,,,,,,,
librairie critic,etienne vincent,19 rue hoche,35000,Rennes,,,,"lecture PDF, envoyer celui de l'organisation et tous les 2016.",,,,,,
librairie le vent des pages,Mr. Meringuet,70 avenue de la république,92120,montrouge,,,,,,,,,,
librairie l'arbre à mots,,28 rue cochon-duvivier,17300,rochefort,,,,,,,,,,
